"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Moritz\Documents\Jugend forscht\Base Algorithm\helper.py", "Python", 184, 0, 24, 105, 313
"c:\Users\Moritz\Documents\Jugend forscht\Base Algorithm\main.py", "Python", 71, 0, 7, 36, 114
"c:\Users\Moritz\Documents\Jugend forscht\Gradient Descent Test\Implementation 1\gradient_descent.py", "Python", 126, 0, 7, 79, 212
"c:\Users\Moritz\Documents\Jugend forscht\Gradient Descent Test\Implementation 1\main.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Gradual\main.py", "Python", 71, 0, 7, 36, 114
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Gradual\maxima.py", "Python", 157, 0, 10, 84, 251
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Total\main.py", "Python", 71, 0, 7, 36, 114
"c:\Users\Moritz\Documents\Jugend forscht\Maxima Finder\Implementation Total\maxima.py", "Python", 144, 0, 7, 80, 231
"c:\Users\Moritz\Documents\Jugend forscht\README.md", "Markdown", 0, 3, 0, 1, 4
"Total", "-", 824, 3, 69, 458, 1354
